"region","subregion","parameter","value_effect","error_prediction_effect","value_difference_effect"
"NORTHERN AMERICA","north dakota","pm10",56.0945867494661,55.4942731341487,58.6632325609345
"NORTHERN AMERICA","ohio","pm10",54.2310495029376,53.6307358876201,56.7996953144059
"NORTHERN AMERICA","oklahoma","pm10",48.5961112718541,47.9957976565366,51.1647570833224
"NORTHERN AMERICA","oregon","pm10",53.4453125196938,52.8449989043764,56.0139583311622
"NORTHERN AMERICA","pennsylvania","pm10",60.6356076914938,60.0352940761764,63.2042535029622
"NORTHERN AMERICA","south carolina","pm10",50.1588576451925,49.5585440298751,52.7275034566609
"NORTHERN AMERICA","south dakota","pm10",53.3615063657862,52.7611927504688,55.9301521772546
"NORTHERN AMERICA","texas","pm10",51.9818026342891,51.3814890189716,54.5504484457574
"NORTHERN AMERICA","us","pm10",56.2628974916177,55.6625838763002,58.8315433030861
"NORTHERN AMERICA","washington","pm10",56.8954582077836,56.2951445924662,59.464104019252
"NORTHERN AMERICA","wisconsin","pm10",56.6411396606587,56.0408260453413,59.2097854721271
"NORTHERN AMERICA","wyoming","pm10",50.7199083697734,50.119594754456,53.2885541812418
"NORTHERN AMERICA","alberta","pm25",82.8615294210461,82.3803004956411,89.0275495416342
"NORTHERN AMERICA","british columbia","pm25",83.2958422994556,82.8146133740506,89.4618624200437
"NORTHERN AMERICA","new brunswick","pm25",81.7370693437218,81.2558404183168,87.9030894643099
"NORTHERN AMERICA","newfoundland and labrador","pm25",81.5339525996001,81.052723674195,87.6999727201881
"NORTHERN AMERICA","nova scotia","pm25",83.7651611772142,83.2839322518092,89.9311812978023
"NORTHERN AMERICA","ontario","pm25",85.5295925435285,85.0483636181235,91.6956126641166
"NORTHERN AMERICA","prince edward island","pm25",83.4794824656075,82.9982535402025,89.6455025861956
"NORTHERN AMERICA","quebec","pm25",87.0241939606604,86.5429650352553,93.1902140812485
"NORTHERN AMERICA","saskatchewan","pm25",80.6314643143899,80.1502353889849,86.797484434978
"NORTHERN AMERICA","alabama","pm25",60.6384810009443,60.1572520755393,66.8045011215324
"NORTHERN AMERICA","alaska","pm25",69.8533549616868,69.3721260362818,76.0193750822749
"NORTHERN AMERICA","arizona","pm25",61.6151898192214,61.1339608938164,67.7812099398095
"NORTHERN AMERICA","arkansas","pm25",57.9115617304255,57.4303328050205,64.0775818510136
"NORTHERN AMERICA","california","pm25",72.2709755611478,71.7897466357427,78.4369956817359
"NORTHERN AMERICA","colorado","pm25",70.9120838002236,70.4308548748186,77.0781039208117
"NORTHERN AMERICA","connecticut","pm25",72.1796844981879,71.6984555727829,78.345704618776
"NORTHERN AMERICA","delaware","pm25",71.8351085375003,71.3538796120953,78.0011286580884
"NORTHERN AMERICA","district of columbia","pm25",80.1593423489152,79.6781134235102,86.3253624695033
"NORTHERN AMERICA","florida","pm25",67.7222673210279,67.2410383956228,73.8882874416159
"NORTHERN AMERICA","georgia","pm25",62.4545365094041,61.9733075839991,68.6205566299922
"NORTHERN AMERICA","hawaii","pm25",79.6476384099788,79.1664094845738,85.8136585305669
"NORTHERN AMERICA","idaho","pm25",61.2698611907819,60.7886322653769,67.43588131137
"NORTHERN AMERICA","illinois","pm25",63.9705861925094,63.4893572671044,70.1366063130975
"NORTHERN AMERICA","indiana","pm25",63.4423488047442,62.9611198793392,69.6083689253323
"NORTHERN AMERICA","iowa","pm25",62.6327115594623,62.1514826340573,68.7987316800504
"NORTHERN AMERICA","kansas","pm25",62.8229533497,62.341724424295,68.9889734702881
"NORTHERN AMERICA","kentucky","pm25",61.4133972351726,60.9321683097676,67.5794173557607
"NORTHERN AMERICA","louisiana","pm25",65.5376826351545,65.0564537097495,71.7037027557426
"NORTHERN AMERICA","maine","pm25",68.7572704380208,68.2760415126158,74.9232905586089
"NORTHERN AMERICA","maryland","pm25",71.5075278044508,71.0262988790458,77.6735479250389
"NORTHERN AMERICA","massachusetts","pm25",73.3093707057862,72.8281417803812,79.4753908263743
"NORTHERN AMERICA","michigan","pm25",71.9670011394064,71.4857722140014,78.1330212599945
"NORTHERN AMERICA","minnesota","pm25",69.3686479590914,68.8874190336864,75.5346680796795
"NORTHERN AMERICA","mississippi","pm25",59.6130438597913,59.1318149343863,65.7790639803794
"NORTHERN AMERICA","missouri","pm25",60.5248869531899,60.0436580277849,66.690907073778
"NORTHERN AMERICA","montana","pm25",66.0180457420611,65.5368168166561,72.1840658626492
"NORTHERN AMERICA","nebraska","pm25",61.8296502226658,61.3484212972608,67.9956703432539
"NORTHERN AMERICA","nevada","pm25",62.9871022536367,62.5058733282317,69.1531223742248
"NORTHERN AMERICA","new hampshire","pm25",69.0873059704131,68.606077045008,75.2533260910011
"NORTHERN AMERICA","new jersey","pm25",75.9658321860772,75.4846032606721,82.1318523066652
"NORTHERN AMERICA","new mexico","pm25",61.7246730033885,61.2434440779835,67.8906931239766
"NORTHERN AMERICA","new york","pm25",71.4022691035422,70.9210401781372,77.5682892241303
"NORTHERN AMERICA","north carolina","pm25",60.6902400715749,60.2090111461699,66.856260192163
"NORTHERN AMERICA","north dakota","pm25",65.8967532823703,65.4155243569652,72.0627734029583
"NORTHERN AMERICA","ohio","pm25",64.0332160358417,63.5519871104367,70.1992361564297
"NORTHERN AMERICA","oklahoma","pm25",58.3982778047582,57.9170488793532,64.5642979253463
"NORTHERN AMERICA","oregon","pm25",63.2474790525979,62.7662501271929,69.413499173186
"NORTHERN AMERICA","pennsylvania","pm25",70.4377742243979,69.9565452989929,76.603794344986
"NORTHERN AMERICA","rhode island","pm25",72.2001404506553,71.7189115252502,78.3661605712433
"NORTHERN AMERICA","south carolina","pm25",59.9610241780966,59.4797952526916,66.1270442986847
"NORTHERN AMERICA","south dakota","pm25",63.1636728986903,62.6824439732853,69.3296930192784
"NORTHERN AMERICA","tennessee","pm25",59.2045225142356,58.7232935888306,65.3705426348237
"NORTHERN AMERICA","texas","pm25",61.7839691671932,61.3027402417882,67.9499892877813
"NORTHERN AMERICA","us","pm25",66.0650640245218,65.5838350991168,72.2310841451099
"NORTHERN AMERICA","utah","pm25",61.3678624920515,60.8866335666465,67.5338826126395
"NORTHERN AMERICA","vermont","pm25",75.5943651264253,75.1131362010203,81.7603852470134
"NORTHERN AMERICA","virginia","pm25",64.0354792363804,63.5542503109754,70.2014993569685
"NORTHERN AMERICA","washington","pm25",66.6976247406877,66.2163958152827,72.8636448612758
"NORTHERN AMERICA","wisconsin","pm25",66.4433061935628,65.9620772681578,72.6093263141509
"NORTHERN AMERICA","wyoming","pm25",60.5220749026775,60.0408459772725,66.6880950232656
"NORTHERN AMERICA","alberta","so2",78.749929415561,75.7362652941947,79.8083298024182
"NORTHERN AMERICA","british columbia","so2",79.1842422939705,76.1705781726042,80.2426426808277
"NORTHERN AMERICA","nova scotia","so2",78.2826460333562,75.2689819119899,79.3410464202134
"NORTHERN AMERICA","alaska","so2",66.2388195753483,63.225155453982,67.2972199622055
"NORTHERN AMERICA","arizona","so2",57.5035898137363,54.48992569237,58.5619902005935
"NORTHERN AMERICA","california","so2",68.1593755556627,65.1457114342963,69.2177759425198
"NORTHERN AMERICA","delaware","so2",67.1858027146112,64.1721385932449,68.2442031014684
"NORTHERN AMERICA","district of columbia","so2",76.0969575240388,73.0832934026725,77.1553579108959
"NORTHERN AMERICA","florida","so2",63.6106673155428,60.5970031941764,64.6690677023999
"NORTHERN AMERICA","georgia","so2",58.342936503919,55.3292723825527,59.4013368907762
"NORTHERN AMERICA","hawaii","so2",75.5360384044937,72.5223742831274,76.5944387913509
"NORTHERN AMERICA","idaho","so2",57.1582611852968,54.1445970639305,58.216661572154
"NORTHERN AMERICA","illinois","so2",59.9239764698156,56.9103123484493,60.9823768566728
"NORTHERN AMERICA","indiana","so2",59.3307487992591,56.3170846778928,60.3891491861163
"NORTHERN AMERICA","iowa","so2",58.4498982738774,55.436234152511,59.5082986607345
"NORTHERN AMERICA","kansas","so2",58.7113533442149,55.6976892228486,59.7697537310721
"NORTHERN AMERICA","kentucky","so2",57.3017972296875,54.2881331083212,58.3601976165447
"NORTHERN AMERICA","maryland","so2",67.3959277989657,64.3822636775994,68.4543281858229
"NORTHERN AMERICA","massachusetts","so2",69.1977707003011,66.1841065789348,70.2561710871583
"NORTHERN AMERICA","michigan","so2",67.8554011339213,64.841737012555,68.9138015207785
"NORTHERN AMERICA","minnesota","so2",65.2570479536063,62.24338383224,66.3154483404635
"NORTHERN AMERICA","missouri","so2",56.4132869477048,53.3996228263385,57.471687334562
"NORTHERN AMERICA","nevada","so2",58.1925085253403,55.178844403974,59.2509089121975
"NORTHERN AMERICA","new hampshire","so2",64.975705964928,61.9620418435616,66.0341063517851
"NORTHERN AMERICA","new mexico","so2",57.6130729979034,54.5994088765371,58.6714733847606
"NORTHERN AMERICA","north carolina","so2",56.5786400660898,53.5649759447235,57.637040452947
"NORTHERN AMERICA","ohio","so2",59.9216160303566,56.9079519089903,60.9800164172137
"NORTHERN AMERICA","oklahoma","so2",54.1372117103539,51.1235475889875,55.195612097211
"NORTHERN AMERICA","pennsylvania","so2",66.3261742189128,63.3125100975465,67.38457460577
"NORTHERN AMERICA","south carolina","so2",55.5075018498256,52.4938377284593,56.5659022366828
"NORTHERN AMERICA","tennessee","so2",55.0929225087506,52.0792583873842,56.1513228956077
"NORTHERN AMERICA","utah","so2",57.2562624865664,54.2425983652,58.3146628734235
"NORTHERN AMERICA","virginia","so2",59.9238792308953,56.910215109529,60.9822796177525
"NORTHERN AMERICA","west virginia","so2",58.008453800154,54.9947896787876,59.0668541870111
"NORTHERN AMERICA","wisconsin","so2",62.3078614554427,NA,63.3662618422998
"NORTHERN AMERICA","wyoming","so2",56.4104748971924,NA,NA
"LATIN AMER. & CARIB","antofagasta","co",140.369695476277,-104.449568978194,268.72809653307
"LATIN AMER. & CARIB","araucania","co",145.955116722296,-98.8641477321748,274.313517779089
"LATIN AMER. & CARIB","bio bio","co",140.103198733301,-104.71606572117,268.461599790093
"LATIN AMER. & CARIB","cl","co",142.246815766774,-102.572448687697,270.605216823567
"LATIN AMER. & CARIB","los r<ed>os","co",142.361439737306,-102.457824717165,270.719840794098
"LATIN AMER. & CARIB","santiago metropolitan region","co",142.355724776128,-102.463539678342,270.714125832921
"LATIN AMER. & CARIB","valpara<ed>so","co",140.789423100074,-104.029841354397,269.147824156867
"LATIN AMER. & CARIB","antioquia","co",162.719311784244,-82.0999526702266,291.077712841037
"LATIN AMER. & CARIB","antofagasta","no2",55.2762181239176,NA,62.5575669679899
"LATIN AMER. & CARIB","atacama","no2",57.288052149258,NA,64.5694009933303
"LATIN AMER. & CARIB","bio bio","no2",55.1944983187987,NA,62.475847162871
"LATIN AMER. & CARIB","cl","no2",57.338115352272,NA,64.6194641963443
"LATIN AMER. & CARIB","santiago metropolitan region","no2",57.4470243616263,NA,64.7283732056986
"LATIN AMER. & CARIB","valpara<ed>so","no2",55.8807226855723,NA,63.1620715296446
"LATIN AMER. & CARIB","antioquia","no2",78.5712758987713,NA,85.8526247428436
"LATIN AMER. & CARIB","antofagasta","o3",49.1289563802404,59.7443260810581,35.4753974935598
"LATIN AMER. & CARIB","atacama","o3",50.9560134677233,61.571383168541,37.3024545810427
"LATIN AMER. & CARIB","ays<e9>n","o3",53.3629421486336,63.9783118494513,39.709383261953
"LATIN AMER. & CARIB","bio bio","o3",48.862459637264,59.4778293380817,35.2089007505834
"LATIN AMER. & CARIB","cl","o3",51.0060766707373,61.621446371555,37.3525177840567
"LATIN AMER. & CARIB","santiago metropolitan region","o3",51.1149856800916,61.7303553809093,37.461426793411
"LATIN AMER. & CARIB","valpara<ed>so","o3",49.5486840040375,60.1640537048552,35.8951251173569
"LATIN AMER. & CARIB","antioquia","o3",72.2392372172366,82.8546069180543,58.585678330556
"LATIN AMER. & CARIB","<f1>uble","pm10",56.3402424890178,45.5795761437153,69.526051256563
"LATIN AMER. & CARIB","antofagasta","pm10",51.0359335946607,40.2752672493583,64.2217423622059
"LATIN AMER. & CARIB","araucania","pm10",56.6213548406796,45.8606884953772,69.8071636082249
"LATIN AMER. & CARIB","atacama","pm10",52.8629906821436,42.1023243368412,66.0487994496888
"LATIN AMER. & CARIB","ays<e9>n","pm10",55.2699193630539,44.5092530177515,68.4557281305991
"LATIN AMER. & CARIB","bio bio","pm10",50.7694368516843,40.0087705063819,63.9552456192295
"LATIN AMER. & CARIB","cl","pm10",52.9130538851576,42.1523875398552,66.0988626527028
"LATIN AMER. & CARIB","coquimbo","pm10",52.7220686416512,41.9614022963488,65.9078774091964
"LATIN AMER. & CARIB","los lagos","pm10",52.2668469809258,41.5061806356234,65.452655748471
"LATIN AMER. & CARIB","los r<ed>os","pm10",53.0276778556891,42.2670115103867,66.2134866232343
"LATIN AMER. & CARIB","maule","pm10",51.9300210341224,41.16935468882,65.1158298016676
"LATIN AMER. & CARIB","santiago metropolitan region","pm10",53.0219628945119,42.2612965492095,66.2077716620571
"LATIN AMER. & CARIB","valpara<ed>so","pm10",51.4556612184579,40.6949948731555,64.6414699860031
"LATIN AMER. & CARIB","antioquia","pm10",74.146214431657,63.3855480863545,87.3320231992022
"LATIN AMER. & CARIB","<f1>uble","pm25",69.687480728555,54.4345086597132,86.4213622556233
"LATIN AMER. & CARIB","antofagasta","pm25",64.383171834198,49.1301997653562,81.1170533612662
"LATIN AMER. & CARIB","araucania","pm25",69.9685930802169,54.7156210113751,86.7024746072852
"LATIN AMER. & CARIB","atacama","pm25",66.2102289216809,50.9572568528391,82.9441104487491
"LATIN AMER. & CARIB","ays<e9>n","pm25",68.6171576025912,53.3641855337494,85.3510391296594
"LATIN AMER. & CARIB","bio bio","pm25",64.1166750912216,48.8637030223798,80.8505566182898
"LATIN AMER. & CARIB","cl","pm25",66.2602921246949,51.0073200558531,82.9941736517631
"LATIN AMER. & CARIB","coquimbo","pm25",66.0693068811884,50.8163348123466,82.8031884082567
"LATIN AMER. & CARIB","los lagos","pm25",65.6140852204631,50.3611131516213,82.3479667475313
"LATIN AMER. & CARIB","los r<ed>os","pm25",66.3749160952264,51.1219440263846,83.1087976222946
"LATIN AMER. & CARIB","magallanes and chilean antarctica","pm25",70.3008155288929,55.0478434600511,87.0346970559611
"LATIN AMER. & CARIB","maule","pm25",65.2772592736596,50.0242872048178,82.0111408007279
"LATIN AMER. & CARIB","santiago metropolitan region","pm25",66.3692011340492,51.1162290652074,83.1030826611174
"LATIN AMER. & CARIB","valpara<ed>so","pm25",64.8028994579951,49.5499273891533,81.5367809850634
"LATIN AMER. & CARIB","antioquia","pm25",87.4934526711942,72.2404806023524,104.227334198262
"LATIN AMER. & CARIB","bogota","pm25",86.4067300330364,71.1537579641946,103.140611560105
"LATIN AMER. & CARIB","cr","pm25",74.790592458399,59.5376203895572,91.5244739854673
"LATIN AMER. & CARIB","antofagasta","so2",51.8666762429766,47.2267983660694,52.2770442806443
"LATIN AMER. & CARIB","atacama","so2",53.6937333304594,49.0538554535522,54.1041013681272
"LATIN AMER. & CARIB","ays<e9>n","so2",56.1006620113697,51.4607841344625,56.5110300490375
"LATIN AMER. & CARIB","bio bio","so2",51.6001795000001,46.960301623093,52.0105475376679
"LATIN AMER. & CARIB","cl","so2",53.7437965334734,49.1039186565663,54.1541645711412
"LATIN AMER. & CARIB","los r<ed>os","so2",53.8584205040049,49.2185426270977,54.2687885416727
"LATIN AMER. & CARIB","santiago metropolitan region","so2",53.8527055428277,49.2128276659205,54.2630735804955
"LATIN AMER. & CARIB","valpara<ed>so","so2",52.2864038667737,47.6465259898665,52.6967719044415
"LATIN AMER. & CARIB","antioquia","so2",74.9769570799728,70.3370792030656,75.3873251176405
