NAME_1;CountryCode;sub_region_gadm;;
burgas;bg;burgas;;
dobrich;bg;dobrich;;
gabrovo;bg;gabrovo;;
grad sofiya;bg;grad sofiya;;
haskovo;bg;haskovo;;
kardzhali;bg;kardzhali;;
kyustendil;bg;kyustendil;;
lovech;bg;lovech;;
montana;bg;montana;;
pazardzhik;bg;pazardzhik;;
pernik;bg;pernik;;
pleven;bg;pleven;;
plovdiv;bg;plovdiv;;
razgrad;bg;razgrad;;
ruse;bg;ruse;;
shumen;bg;shumen;;
silistra;bg;silistra;;
sliven;bg;sliven;;
smolyan;bg;smolyan;;
sofia;bg;sofia;;
stara zagora;bg;stara zagora;;
targovishte;bg;targovishte;;
varna;bg;varna;;
veliko tarnovo;bg;veliko tarnovo;;
vidin;bg;vidin;;
vratsa;bg;vratsa;;
yambol;bg;yambol;;
capital;bh;capital;;
central;bh;central;;
muharraq;bh;muharraq;;
northern;bh;northern;;
southern;bh;southern;;
bubanza;bi;bubanza;;
bujumbura mairie;bi;bujumbura mairie;;
bujumbura rural;bi;bujumbura rural;;
bururi;bi;bururi;;
cankuzo;bi;cankuzo;;
cibitoke;bi;cibitoke;;
gitega;bi;gitega;;
karuzi;bi;karuzi;;
kayanza;bi;kayanza;;
kirundo;bi;kirundo;;
makamba;bi;makamba;;
muramvya;bi;muramvya;;
muyinga;bi;muyinga;;
mwaro;bi;mwaro;;
ngozi;bi;ngozi;;
rutana;bi;rutana;;
ruyigi;bi;ruyigi;;
alibori;bj;alibori;;
atakora;bj;atakora;;
atlantique;bj;atlantique;;
borgou;bj;borgou;;
collines;bj;collines;;
donga;bj;donga;;
kouffo;bj;kouffo;;
littoral;bj;littoral;;
mono;bj;mono;;
ouémé;bj;ouémé;;
plateau;bj;plateau;;
zou;bj;zou;;
devonshire;bm;devonshire;;
hamilton;bm;hamilton;;
hamilton municipality;bm;hamilton municipality;;
paget;bm;paget;;
pembroke;bm;pembroke;;
saint george's;bm;saint george's;;
saint george municipality;bm;saint george municipality;;
sandys;bm;sandys;;
smiths;bm;smiths;;
southampton;bm;southampton;;
warwick;bm;warwick;;
belait;bn;belait;;
brunei and muara;bn;brunei and muara;;
temburong;bn;temburong;;
tutong;bn;tutong;;
chuquisaca;bo;chuquisaca;;
cochabamba;bo;cochabamba;;
el beni;bo;el beni;;
la paz;bo;la paz;;
oruro;bo;oruro;;
pando;bo;pando;;
potosí;bo;potosí;;
santa cruz;bo;santa cruz;;
tarija;bo;tarija;;
acre;br;acre;;
alagoas;br;alagoas;;
amapá;br;amapá;;
amazonas;br;amazonas;;
bahia;br;bahia;;
ceará;br;ceará;;
distrito federal;br;distrito federal;;
espírito santo;br;espírito santo;;
goiás;br;goiás;;
maranhão;br;maranhão;;
mato grosso;br;mato grosso;;
mato grosso do sul;br;mato grosso do sul;;
minas gerais;br;minas gerais;;
pará;br;pará;;
paraíba;br;paraíba;;
paraná;br;paraná;;
pernambuco;br;pernambuco;;
piauí;br;piauí;;
rio de janeiro;br;rio de janeiro;;
rio grande do norte;br;rio grande do norte;;
rio grande do sul;br;rio grande do sul;;
rondônia;br;rondônia;;
roraima;br;roraima;;
santa catarina;br;santa catarina;;
são paulo;br;são paulo;;
sergipe;br;sergipe;;
tocantins;br;tocantins;;
acklins;bs;acklins;;
berry islands;bs;berry islands;;
biminis;bs;biminis;;
black point;bs;black point;;
cat island;bs;cat island;;
central abaco;bs;central abaco;;
central andros;bs;central andros;;
central eleuthera;bs;central eleuthera;;
city of freeport;bs;city of freeport;;
crooked island;bs;crooked island;;
east grand bahama;bs;east grand bahama;;
exuma;bs;exuma;;
grand cay;bs;grand cay;;
harbour island;bs;harbour island;;
hope town;bs;hope town;;
inagua;bs;inagua;;
long island;bs;long island;;
mangrove cay;bs;mangrove cay;;
mayaguana;bs;mayaguana;;
moore's island;bs;moore's island;;
new providence;bs;new providence;;
north abaco;bs;north abaco;;
north andros;bs;north andros;;
north eleuthera;bs;north eleuthera;;
ragged island;bs;ragged island;;
rum cay;bs;rum cay;;
san salvador;bs;san salvador;;
south abaco;bs;south abaco;;
south andros;bs;south andros;;
south eleuthera;bs;south eleuthera;;
spanish wells;bs;spanish wells;;
west grand bahama;bs;west grand bahama;;
bumthang;bt;bumthang;;
chhukha;bt;chhukha;;
dagana;bt;dagana;;
gasa;bt;gasa;;
haa;bt;haa;;
lhuentse;bt;lhuentse;;
monggar;bt;monggar;;
paro;bt;paro;;
pemagatshel;bt;pemagatshel;;
punakha;bt;punakha;;
samdrupjongkhar;bt;samdrupjongkhar;;
samtse;bt;samtse;;
sarpang;bt;sarpang;;
thimphu;bt;thimphu;;
trashigang;bt;trashigang;;
trongsa;bt;trongsa;;
tsirang;bt;tsirang;;
wangduephodrang;bt;wangduephodrang;;
yangtse;bt;yangtse;;
zhemgang;bt;zhemgang;;
central;bw;central;;
chobe;bw;chobe;;
francistown;bw;francistown;;
gaborone;bw;gaborone;;
ghanzi;bw;ghanzi;;
jwaneng;bw;jwaneng;;
kgalagadi;bw;kgalagadi;;
kgatleng;bw;kgatleng;;
kweneng;bw;kweneng;;
lobatse;bw;lobatse;;
north-east;bw;north-east;;
north-west;bw;north-west;;
selibe phikwe;bw;selibe phikwe;;
south-east;bw;south-east;;
southern;bw;southern;;
sowa;bw;sowa;;
brest;by;brest;;
homyel';by;homyel';;
hrodna;by;hrodna;;
mahilyow;by;mahilyow;;
minsk;by;minsk;;
vitsyebsk;by;vitsyebsk;;
belize;bz;belize;;
cayo;bz;cayo;;
corozal;bz;corozal;;
orange walk;bz;orange walk;;
stann creek;bz;stann creek;;
toledo;bz;toledo;;
alberta;ca;alberta;;
british columbia;ca;british columbia;;
manitoba;ca;manitoba;;
new brunswick;ca;new brunswick;;
newfoundland and labrador;ca;newfoundland and labrador;;
northwest territories;ca;northwest territories;;
nova scotia;ca;nova scotia;;
nunavut;ca;nunavut;;
ontario;ca;ontario;;
prince edward island;ca;prince edward island;;
québec;ca;québec;;
saskatchewan;ca;saskatchewan;;
yukon;ca;yukon;;
bas-uélé;cd;bas-uélé;;
équateur;cd;équateur;;
haut-katanga;cd;haut-katanga;;
haut-lomami;cd;haut-lomami;;
haut-uélé;cd;haut-uélé;;
ituri;cd;ituri;;
kasaï;cd;kasaï;;
kasaï-central;cd;kasaï-central;;
kasaï-oriental;cd;kasaï-oriental;;
kinshasa;cd;kinshasa;;
kongo-central;cd;kongo-central;;
kwango;cd;kwango;;
kwilu;cd;kwilu;;
lomami;cd;lomami;;
lualaba;cd;lualaba;;
maï-ndombe;cd;maï-ndombe;;
maniema;cd;maniema;;
mongala;cd;mongala;;
nord-kivu;cd;nord-kivu;;
nord-ubangi;cd;nord-ubangi;;
sankuru;cd;sankuru;;
sud-kivu;cd;sud-kivu;;
sud-ubangi;cd;sud-ubangi;;
tanganyika;cd;tanganyika;;
tshopo;cd;tshopo;;
tshuapa;cd;tshuapa;;
bamingui-bangoran;cf;bamingui-bangoran;;
bangui;cf;bangui;;
basse-kotto;cf;basse-kotto;;
haut-mbomou;cf;haut-mbomou;;
haute-kotto;cf;haute-kotto;;
kémo;cf;kémo;;
lobaye;cf;lobaye;;
mambéré-kadéï;cf;mambéré-kadéï;;
mbomou;cf;mbomou;;
nana-grébizi;cf;nana-grébizi;;
nana-mambéré;cf;nana-mambéré;;
ombella-m'poko;cf;ombella-m'poko;;
ouaka;cf;ouaka;;
ouham;cf;ouham;;
ouham-pendé;cf;ouham-pendé;;
sangha-mbaéré;cf;sangha-mbaéré;;
vakaga;cf;vakaga;;
bouenza;cg;bouenza;;
brazzaville;cg;brazzaville;;
cuvette;cg;cuvette;;
cuvette-ouest;cg;cuvette-ouest;;
kouilou;cg;kouilou;;
lékoumou;cg;lékoumou;;
likouala;cg;likouala;;
niari;cg;niari;;
plateaux;cg;plateaux;;
pointe noire;cg;pointe noire;;
pool;cg;pool;;
sangha;cg;sangha;;
aargau;ch;aargau;;
appenzell ausserrhoden;ch;appenzell ausserrhoden;;
appenzell innerrhoden;ch;appenzell innerrhoden;;
basel-landschaft;ch;basel-landschaft;;
basel-stadt;ch;basel-stadt;;
bern;ch;bern;;
fribourg;ch;fribourg;;
genève;ch;genève;;
glarus;ch;glarus;;
graubünden;ch;graubünden;;
jura;ch;jura;;
lucerne;ch;lucerne;;
neuchâtel;ch;neuchâtel;;
nidwalden;ch;nidwalden;;
obwalden;ch;obwalden;;
sankt gallen;ch;sankt gallen;;
schaffhausen;ch;schaffhausen;;
schwyz;ch;schwyz;;
solothurn;ch;solothurn;;
thurgau;ch;thurgau;;
ticino;ch;ticino;;
uri;ch;uri;;
valais;ch;valais;;
vaud;ch;vaud;;
zug;ch;zug;;
zürich;ch;zürich;;
abidjan;ci;abidjan;;
bas-sassandra;ci;bas-sassandra;;
comoé;ci;comoé;;
denguélé;ci;denguélé;;
gôh-djiboua;ci;gôh-djiboua;;
lacs;ci;lacs;;
lagunes;ci;lagunes;;
montagnes;ci;montagnes;;
sassandra-marahoué;ci;sassandra-marahoué;;
savanes;ci;savanes;;
vallée du bandama;ci;vallée du bandama;;
woroba;ci;woroba;;
yamoussoukro;ci;yamoussoukro;;
zanzan;ci;zanzan;;
aisén del general carlos ibáñez del campo;cl;aisén del general carlos ibáñez del campo;;antofagasta
antofagasta;cl;antofagasta;;araucanía
araucanía;cl;araucanía;;arica y parinacota
arica y parinacota;cl;arica y parinacota;;atacama
atacama;cl;atacama;;aisén del general carlos ibáñez del campo
bío-bío;cl;bío-bío;;bío-bío
coquimbo;cl;coquimbo;;
libertador general bernardo o'higgins;cl;libertador general bernardo o'higgins;;coquimbo
los lagos;cl;los lagos;;los lagos
los ríos;cl;los ríos;;los ríos
magallanes y antártica chilena;cl;magallanes y antártica chilena;;magallanes y antártica chilena
maule;cl;maule;;maule
ñuble;cl;ñuble;;aisén del general carlos ibáñez del campo
región metropolitana de santiago;cl;región metropolitana de santiago;;región metropolitana de santiago
tarapacá;cl;tarapacá;;tarapacá
valparaíso;cl;valparaíso;;valparaíso
adamaoua;cm;adamaoua;;ñuble
centre;cm;centre;;
est;cm;est;;
extrême-nord;cm;extrême-nord;;
littoral;cm;littoral;;
nord;cm;nord;;
nord-ouest;cm;nord-ouest;;
ouest;cm;ouest;;
sud;cm;sud;;
sud-ouest;cm;sud-ouest;;
anhui;cn;anhui;;anhui
beijing;cn;beijing;;beijing
chongqing;cn;chongqing;;
fujian;cn;fujian;;chongqing
gansu;cn;gansu;;fujian
guangdong;cn;guangdong;;gansu
guangxi;cn;guangxi;;guangdong
guizhou;cn;guizhou;;guangxi
hainan;cn;hainan;;guizhou
hebei;cn;hebei;;hainan
heilongjiang;cn;heilongjiang;;hebei
henan;cn;henan;;heilongjiang
hubei;cn;hubei;;henan
hunan;cn;hunan;;hubei
jiangsu;cn;jiangsu;;hunan
jiangxi;cn;jiangxi;;nei mongol
jilin;cn;jilin;;jiangsu
liaoning;cn;liaoning;;jiangxi
nei mongol;cn;nei mongol;;jilin
ningxia hui;cn;ningxia hui;;liaoning
qinghai;cn;qinghai;;ningxia hui
shaanxi;cn;shaanxi;;qinghai
shandong;cn;shandong;;shaanxi
shanghai;cn;shanghai;;shandong
shanxi;cn;shanxi;;shanghai
sichuan;cn;sichuan;;shanxi
tianjin;cn;tianjin;;sichuan
xinjiang uygur;cn;xinjiang uygur;;tianjin
xizang;cn;xizang;;yunnan
yunnan;cn;yunnan;;xinjiang uygur
zhejiang;cn;zhejiang;;yunnan
amazonas;co;amazonas;;zhejiang
antioquia;co;antioquia;;
arauca;co;arauca;;
atlántico;co;atlántico;;
bolívar;co;bolívar;;
boyacá;co;boyacá;;
caldas;co;caldas;;
caquetá;co;caquetá;;
casanare;co;casanare;;
cauca;co;cauca;;
cesar;co;cesar;;
chocó;co;chocó;;
córdoba;co;córdoba;;
cundinamarca;co;cundinamarca;;
guainía;co;guainía;;
guaviare;co;guaviare;;
huila;co;huila;;
la guajira;co;la guajira;;
magdalena;co;magdalena;;
meta;co;meta;;
nariño;co;nariño;;
norte de santander;co;norte de santander;;
putumayo;co;putumayo;;
quindío;co;quindío;;
risaralda;co;risaralda;;
san andrés y providencia;co;san andrés y providencia;;
santander;co;santander;;
sucre;co;sucre;;
tolima;co;tolima;;
valle del cauca;co;valle del cauca;;
vaupés;co;vaupés;;
vichada;co;vichada;;
alajuela;cr;alajuela;;
cartago;cr;cartago;;
guanacaste;cr;guanacaste;;
heredia;cr;heredia;;
limón;cr;limón;;
puntarenas;cr;puntarenas;;
san josé;cr;san josé;;
camagüey;cu;camagüey;;
ciego de ávila;cu;ciego de ávila;;
cienfuegos;cu;cienfuegos;;
ciudad de la habana;cu;ciudad de la habana;;
granma;cu;granma;;
guantánamo;cu;guantánamo;;
holguín;cu;holguín;;
isla de la juventud;cu;isla de la juventud;;
la habana;cu;la habana;;
las tunas;cu;las tunas;;
matanzas;cu;matanzas;;
mayabeque;cu;mayabeque;;
pinar del río;cu;pinar del río;;
sancti spíritus;cu;sancti spíritus;;
santiago de cuba;cu;santiago de cuba;;
villa clara;cu;villa clara;;
boa vista;cv;boa vista;;
brava;cv;brava;;
maio;cv;maio;;
mosteiros;cv;mosteiros;;
paúl;cv;paúl;;
porto novo;cv;porto novo;;
praia;cv;praia;;
ribeira brava;cv;ribeira brava;;
ribeira grande;cv;ribeira grande;;
ribeira grande de santiago;cv;ribeira grande de santiago;;
sal;cv;sal;;
santa catarina;cv;santa catarina;;
santa catarina do fogo ;cv;santa catarina do fogo ;;
santa cruz;cv;santa cruz;;
são domingos;cv;são domingos;;
são filipe;cv;são filipe;;
são lourenço dos órgãos;cv;são lourenço dos órgãos;;
são miguel;cv;são miguel;;
são salvador do mundo;cv;são salvador do mundo;;
são vicente;cv;são vicente;;
tarrafal;cv;tarrafal;;
tarrafal de são nicolau;cv;tarrafal de são nicolau;;
famagusta;cy;famagusta;;
larnaca;cy;larnaca;;
limassol;cy;limassol;;
nicosia;cy;nicosia;;
paphos;cy;paphos;;
gazimagusa;cy;gazimagusa;;
girne;cy;girne;;
güzelyurt;cy;güzelyurt;;
iskele;cy;iskele;;
nicosia;cy;nicosia;;
jihoceský;cz;jihoceský;;
jihomoravský;cz;jihomoravský;;
karlovarský;cz;karlovarský;;
kraj vysocina;cz;kraj vysocina;;
královéhradecký;cz;královéhradecký;;
liberecký;cz;liberecký;;
moravskoslezský;cz;moravskoslezský;;
olomoucký;cz;olomoucký;;
pardubický;cz;pardubický;;
plzenský;cz;plzenský;;
prague;cz;prague;;
stredoceský;cz;stredoceský;;
ústecký;cz;ústecký;;
zlínský;cz;zlínský;;
baden-württemberg;de;baden-württemberg;;
bayern;de;bayern;;
berlin;de;berlin;;
brandenburg;de;brandenburg;;
bremen;de;bremen;;
hamburg;de;hamburg;;
hessen;de;hessen;;
mecklenburg-vorpommern;de;mecklenburg-vorpommern;;
niedersachsen;de;niedersachsen;;
nordrhein-westfalen;de;nordrhein-westfalen;;
rheinland-pfalz;de;rheinland-pfalz;;
saarland;de;saarland;;
sachsen;de;sachsen;;
sachsen-anhalt;de;sachsen-anhalt;;
schleswig-holstein;de;schleswig-holstein;;
thüringen;de;thüringen;;
ali sabieh;dj;ali sabieh;;
dikhil;dj;dikhil;;
djibouti;dj;djibouti;;
obock;dj;obock;;
tadjourah;dj;tadjourah;;
hovedstaden;dk;hovedstaden;;
midtjylland;dk;midtjylland;;
nordjylland;dk;nordjylland;;
sjælland;dk;sjælland;;
syddanmark;dk;syddanmark;;
saint andrew;dm;saint andrew;;
saint david;dm;saint david;;
saint george;dm;saint george;;
saint john;dm;saint john;;
saint joseph;dm;saint joseph;;
saint luke;dm;saint luke;;
saint mark;dm;saint mark;;
saint patrick;dm;saint patrick;;
saint paul;dm;saint paul;;
saint peter;dm;saint peter;;
azua;do;azua;;
bahoruco;do;bahoruco;;
barahona;do;barahona;;
dajabón;do;dajabón;;
distrito nacional;do;distrito nacional;;
duarte;do;duarte;;
el seybo;do;el seybo;;
espaillat;do;espaillat;;
hato mayor;do;hato mayor;;
independencia;do;independencia;;
la altagracia;do;la altagracia;;
la estrelleta;do;la estrelleta;;
la romana;do;la romana;;
la vega;do;la vega;;
maría trinidad sánchez;do;maría trinidad sánchez;;
monseñor nouel;do;monseñor nouel;;
monte cristi;do;monte cristi;;
monte plata;do;monte plata;;
pedernales;do;pedernales;;
peravia;do;peravia;;
puerto plata;do;puerto plata;;
salcedo;do;salcedo;;
samaná;do;samaná;;
san cristóbal;do;san cristóbal;;
san josé de ocoa;do;san josé de ocoa;;
san juan;do;san juan;;
san pedro de macorís;do;san pedro de macorís;;
sánchez ramírez;do;sánchez ramírez;;
santiago;do;santiago;;
santiago rodríguez;do;santiago rodríguez;;
santo domingo;do;santo domingo;;
valverde;do;valverde;;
adrar;dz;adrar;;
aïn defla;dz;aïn defla;;
aïn témouchent;dz;aïn témouchent;;
alger;dz;alger;;
annaba;dz;annaba;;
batna;dz;batna;;
béchar;dz;béchar;;
béjaïa;dz;béjaïa;;
biskra;dz;biskra;;
blida;dz;blida;;
bordj bou arréridj;dz;bordj bou arréridj;;
bouira;dz;bouira;;
boumerdès;dz;boumerdès;;
chlef;dz;chlef;;
constantine;dz;constantine;;
djelfa;dz;djelfa;;
el bayadh;dz;el bayadh;;
el oued;dz;el oued;;
el tarf;dz;el tarf;;
ghardaïa;dz;ghardaïa;;
guelma;dz;guelma;;
illizi;dz;illizi;;
jijel;dz;jijel;;
khenchela;dz;khenchela;;
laghouat;dz;laghouat;;
m'sila;dz;m'sila;;
mascara;dz;mascara;;
médéa;dz;médéa;;
mila;dz;mila;;
mostaganem;dz;mostaganem;;
naâma;dz;naâma;;
oran;dz;oran;;
ouargla;dz;ouargla;;
oum el bouaghi;dz;oum el bouaghi;;
relizane;dz;relizane;;
saïda;dz;saïda;;
sétif;dz;sétif;;
sidi bel abbès;dz;sidi bel abbès;;
skikda;dz;skikda;;
souk ahras;dz;souk ahras;;
tamanghasset;dz;tamanghasset;;
tébessa;dz;tébessa;;
tiaret;dz;tiaret;;
tindouf;dz;tindouf;;
tipaza;dz;tipaza;;
tissemsilt;dz;tissemsilt;;
tizi ouzou;dz;tizi ouzou;;
tlemcen;dz;tlemcen;;
azuay;ec;azuay;;
bolivar;ec;bolivar;;
cañar;ec;cañar;;
carchi;ec;carchi;;
chimborazo;ec;chimborazo;;
cotopaxi;ec;cotopaxi;;
el oro;ec;el oro;;
esmeraldas;ec;esmeraldas;;
galápagos;ec;galápagos;;
guayas;ec;guayas;;
imbabura;ec;imbabura;;
loja;ec;loja;;
los rios;ec;los rios;;
manabi;ec;manabi;;
morona santiago;ec;morona santiago;;
napo;ec;napo;;
orellana;ec;orellana;;
pastaza;ec;pastaza;;
pichincha;ec;pichincha;;
santa elena;ec;santa elena;;
santo domingo de los tsachilas;ec;santo domingo de los tsachilas;;
sucumbios;ec;sucumbios;;
tungurahua;ec;tungurahua;;
zamora chinchipe;ec;zamora chinchipe;;
harju;ee;harju;;
hiiu;ee;hiiu;;
ida-viru;ee;ida-viru;;
järva;ee;järva;;
jõgeva;ee;jõgeva;;
lääne;ee;lääne;;
lääne-viru;ee;lääne-viru;;
pärnu;ee;pärnu;;
põlva;ee;põlva;;
rapla;ee;rapla;;
saare;ee;saare;;
tartu;ee;tartu;;
valga;ee;valga;;
viljandi;ee;viljandi;;
võru;ee;võru;;
ad daqahliyah;eg;ad daqahliyah;;
al bahr al ahmar;eg;al bahr al ahmar;;
al buhayrah;eg;al buhayrah;;
al fayyum;eg;al fayyum;;
al gharbiyah;eg;al gharbiyah;;
al iskandariyah;eg;al iskandariyah;;
al isma`iliyah;eg;al isma`iliyah;;
al jizah;eg;al jizah;;
al minufiyah;eg;al minufiyah;;
al minya;eg;al minya;;
al qahirah;eg;al qahirah;;
al qalyubiyah;eg;al qalyubiyah;;
al uqsur;eg;al uqsur;;
al wadi al jadid;eg;al wadi al jadid;;
as suways;eg;as suways;;
ash sharqiyah;eg;ash sharqiyah;;
aswan;eg;aswan;;
asyut;eg;asyut;;
bani suwayf;eg;bani suwayf;;
bur sa`id;eg;bur sa`id;;
dumyat;eg;dumyat;;
janub sina';eg;janub sina';;
kafr ash shaykh;eg;kafr ash shaykh;;
matrouh;eg;matrouh;;
qina;eg;qina;;
shamal sina';eg;shamal sina';;
suhaj;eg;suhaj;;
boujdour;eh;boujdour;;
es semara;eh;es semara;;
laayoune;eh;laayoune;;
oued el dahab;eh;oued el dahab;;
anseba;er;anseba;;
debub;er;debub;;
debubawi keyih bahri;er;debubawi keyih bahri;;
gash barka;er;gash barka;;
maekel;er;maekel;;
semenawi keyih bahri;er;semenawi keyih bahri;;
andalucía;es;andalucía;;andalucía
aragón;es;aragón;;aragón
cantabria;es;cantabria;;principado de asturias
castilla-la mancha;es;castilla-la mancha;;islas baleares
castilla y león;es;castilla y león;;país vasco
cataluña;es;cataluña;;islas canarias
ceuta y melilla;es;ceuta y melilla;;cantabria
comunidad de madrid;es;comunidad de madrid;;castilla y león
comunidad foral de navarra;es;comunidad foral de navarra;;castilla-la mancha
comunidad valenciana;es;comunidad valenciana;;cataluña
extremadura;es;extremadura;;comunidad de madrid
galicia;es;galicia;;extremadura
islas baleares;es;islas baleares;;galicia
islas canarias;es;islas canarias;;la rioja
la rioja;es;la rioja;;comunidad foral de navarra
país vasco;es;país vasco;;región de murcia
principado de asturias;es;principado de asturias;;
región de murcia;es;región de murcia;;comunidad valenciana
